,House Request,Senate Request,Pre-reduction Amt. (Omni),Final Amount,Budget Request,Description,City/Location,County,State,Bill,Bill Section,Bill Subsection,Project Heading (Defense Bill Only),House Requesting Member(s),House Party,House State,Dist.,Senate Requesting Member(s),Senate Party,Senate State,Presidential Earmarks,Undisclosed,Intended Recipient or Location,Notes,is_pork
2930,335000,,,314900,,"Midland County, MI Courts",,Midland,MI,"Commerce, Justice & Science",Department of Justice,Byrne Grants,,Camp,R,MI,,Levin; Stabenow,D; D,MI; MI,,,,,0
2931,2500000,1000000,1635000,1609000,0,"Port Of Los Angeles Channel Deepening, CA",,,CA,Energy & Water,Corps of Engineers,"Construction, General",,Roybal-Allard,D,CA,,Boxer; Feinstein,D; D,CA; CA,,,,,0
2932,1193413,,1193000,1185000,,"Residue Management in Sugarcane (Sugarcane Research), Houma, LA",Houma,,LA,Ag-Rural Development-FDA,Agriculture,Agricultural Research Service; Salaries and Expenses,,Melancon,D,LA,,Landrieu; Vitter,D; R,LA; LA,,,,,0
2933,,100000,87000,85480,,"Saint Luke's Miners Memorial Hospital, Coaldale, PA, for equipment",Coaldale,,PA,Labor-HHS-Education,Department of Health and Human Services,Health Resources and Services Administration ,,,,,,Specter,R,PA,,,,,0
2934,,200000,,491150,,"Washington Association of Sheriffs and Police Chiefs, Lacey, WA, for DNA testing for stranger rapes",Lacey,,WA,"Commerce, Justice & Science",Department of Justice,COPS; Technology,,Dicks; Reichert,D; R,WA; WA,,Cantwell; Murray,D; D,WA; WA,,,,,0
2935,,,750000,735000,,"Environmental Shield, Queens, NY",New York,,NY,Transportation and Housing & Urban Development,Transportation,FHWA; Surface Transportation Priorities,,Crowley,D,NY,,,,,,,,,0
2936,1000000,,1000000,980000,,Forest Highway 171 Widening,,Butte,CA,Transportation and Housing & Urban Development,Transportation,FHWA; Federal Lands (Public Lands Highways),,Herger,R,CA,,,,,,,,,0
2937,,220000,220000,218000,200000,International Council for the Exploration of the Sea (ICES),,,INT,State-Foreign Ops,Department of State,International Fisheries Commission,,,,,,,,,President-Solo & Und.,,,"Copenhagen, Denmark",0
2938,150000,,250000,245000,,"New Song Urban Ministries, Inc. for renovation and construction of the Community Learning Center",Baltimore,,MD,Transportation and Housing & Urban Development,HUD,Economic Development Initiatives,,Cummings,D,MD,,,,,,,,,0
2939,225000,,219000,215174,,"Ossining Union Free School District, Ossining, NY for after-school, literacy, or school reform initiatives",Ossining,,NY,Labor-HHS-Education,Department of Education,Fund for the Improvement of Education,,Lowey,D,NY,18,,,,,,,,0
2940,200000,,,188000,,"Richmond Youth Academy, Richmond, CA",Richmond,,CA,"Commerce, Justice & Science",Department of Justice,Juvenile Justice,,"Miller, George",D,CA,,,,,,,,,0
2941,100000,,97000,95305,,"Salesian Boys and Girls Club of Los Angeles, CA for education and support services for middle and high school students",Los Angeles,,CA,Labor-HHS-Education,Department of Education,Fund for the Improvement of Education,,Roybal-Allard,D,CA,,,,,,,,,0
2942,150000,,,211500,,"Stepping Stones Child Advocacy, La Crosse, WI",La Crosse,,WI,"Commerce, Justice & Science",Department of Justice,Byrne Grants,,Kind,D,WI,3,,,,,,,,0
2943,,6500000,,6600000,6600000,Barracks (Grow the Force),Fort Sam Houston,,TX,Military Construction,Military Construction Project Listing,Army,,,,,,Cornyn; Hutchison,R; R,TX; TX,President and Member(s),,,,0
2944,637000,,478000,475000,,"Environmental Biotechnology, RI",,,RI,Ag-Rural Development-FDA,Agriculture,CSREES; Special Research Grants,,Kennedy; Langevin,D; D,RI; RI,,Reed; Whitehouse,D; D,RI; RI,,,,,0
2945,,2500000,,2000000,,Force Protection Applied Research ,,,UNK,Defense,RDTE,Navy,Force Protection Applied Research,,,,,Martinez,R,FL,,,,,0
2946,,750000,,564000,,"Henderson County Fiscal Court, Henderson County, KY, for equipment upgrades",,Henderson,KY,"Commerce, Justice & Science",Department of Justice,COPS; Technology,,,,,,McConnell,R,KY,,,,,0
2947,950000,,,950000,,MILS Separation Kernel Technology Development ,Palm Harbor; Washington ,Washington; Palm Harbor,DC; FL,Defense,RDTE,Army,Information Systems Security Program,Bilirakis; Capps,R; D,FL; CA,,,,,,,Green Hills Software,,0
2948,,500000,500000,492000,0,"Nevada Cancer Institute, support research of cellular antigens and nuclei acids",Las Vegas,,NV,Energy & Water,Department of Energy,Congressionally Directed Science projects,,,,,,Reid,D,NV,,,,,0
2949,,6490000,,6490000,6490000,Reserve Training Center,Austin,,TX,Military Construction,Military Construction Project Listing,Navy Reserve,,,,,,Cornyn; Hutchison,R; R,TX; TX,President and Member(s),,,,0
2950,1500000,200000,1000000,984000,200000,San Jose Area Water Reclamation And Reuse Program,,,CA,Energy & Water,Bureau of Reclamation,Water and Related Resources,,Honda; Lofgren,D; D,CA; CA,,,,,President and Member(s),,,,0
2951,48000,,48000,47040,,"Belding Dial-A-Ride vehicle, equipment acquisition",,,MI,Transportation and Housing & Urban Development,Transportation,FTA; Buses and Bus Facilities,,Ehlers,R,MI,,,,,,,,,0
2952,,,0,0,0,Blue Hole Lake State Park,,,NM,Energy & Water,Corps of Engineers,Continuing Authorities Program; Aquatic Ecosystem Restoration (Section 206),,,,,,Bingaman; Domenici,D; R,NM; NM,,,,"$20,321,000 out of $30,000,000 allocated for this program was earmarked to specific projects; projects with unspecified funding levels are second priority for remaining funds. Senate included this project but with an unspecified funding amount.",0
2953,1500000,,,1200000,,Computing and Nanoscale Electronic Processing,Corvalis; Moscow,Moscow; Corvalis,ID; OR,Defense,RDTE,Defense Wide,Advanced Electronics Technologies,Blumenauer; Walden; Wu,D; R; D,OR; OR; OR,,,,,,,Oregon State University; University of Idaho,,0
2954,2500000,,,2000000,,Environmental Bioterrorism Detection Program,St Petersburg,,FL,Defense,RDTE,Defense Wide,Chemical and Biological Defense Program - Advanced Development,"Young, Bill",R,FL,,,,,,,SAIC,,0
2955,456000,,342000,340000,,"Forestry Research, AR",,,AR,Ag-Rural Development-FDA,Agriculture,CSREES; Special Research Grants,,Ross,D,AR,,,,,,,,,0
2956,,242000,0,0,242000,Repairs and Improvements,Guam,,UST,Military Construction,Family House Construction,Navy/Marines,,,,,,,,,President-Solo,,,Guam,0
2957,250000,,250000,245000,,SportTran Buses ,Shreveport,,LA,Transportation and Housing & Urban Development,Transportation,FTA; Buses and Bus Facilities,,McCrery,R,LA,,Landrieu; Vitter,D; R,LA; LA,,,,,0
2958,,6400000,,6400000,6400000,Air Support Operations Squadron Beddown,Fort Indiantown Gap,,PA,Military Construction,Military Construction Project Listing,Air National Guard,,,,,,,,,President-Solo,,,,0
2959,,,500000,492000,,Enewetak Food and Agriculture,,,UST,Interior,Office of Insular Affairs,Assistance to Territories,,,,,,Akaka; Bingaman; Domenici,D; D; R,HI; NM; NM,,,,,0
2960,,6450000,,6450000,6450000,Environmental Preventative Medical Unit 2 Replacement ,Norfolk,,VA,Military Construction,Military Construction Project Listing,Defense-Wide,,,,,,Warner; Webb,R; D,VA; VA,President and Member(s),,,,0
2961,,7500000,,6000000,,Future Medical Shelter System-44/48 Bed Combat Support Hospital,,,UNK,Defense,RDTE,Army,Medical Systems - Adv Dev,Boozman,R,AR,,Lincoln; Pryor,D; D,AR; AR,,,,,0
2962,200000,,312000,306549,,"Hurley Medical Center, Flint, Ml for health information systems",Flint,,MI,Labor-HHS-Education,Department of Health and Human Services,Health Resources and Services Administration ,,Kildee,D,MI,,Levin,D,MI,,,,,0
2963,,99000,100000,98253,,Research into the health effects of volcanic emissions.,,,UNK,Labor-HHS-Education,Department of Health and Human Services,Centers for Disease Control and Prevention ,,,,,,,,,,Undisclosed,,,0
2964,,1000000,,1175000,,"Cape Girardeau County Sheriff's Department, Cape Girardeau, MO, for combating methamphetamine,",Cape Girardeau,Cape Girardeau,MO,"Commerce, Justice & Science",Department of Justice,COPS; Meth,,,,,,Bond,R,MO,,,,,0
2965,,200000,170000,167030,,"Children's Medical Center, Dallas, Dallas, TX, for construction, renovation, and equipment",Dallas,,TX,Labor-HHS-Education,Department of Health and Human Services,Health Resources and Services Administration ,,Edwards,D,TX,,Cornyn; Hutchison,R; R,TX; TX,,,,,0
2966,369000,,277000,275000,,"Environmental Research, NY",,,NY,Ag-Rural Development-FDA,Agriculture,CSREES; Special Research Grants,,Hinchey,D,NY,,Clinton; Schumer,D; D,NY; NY,,,,,0
2967,,2000000,,1600000,,Future TOC Hardware/Software Integration ,,,UNK,Defense,RDTE,Army,Army Missile Defense Systems Integration (Non Space) ,Everett,R,AL,,Sessions; Shelby,R; R,AL; AL,,,,,0
2968,,7380000,,7380000,7380000,Housing,Cordova,,AK,Homeland Security,U.S. Coast Guard,Shore facilities and aids to navigation,,,,,,,,,President-Solo & Und.,,,Top line for program provided,0
2969,1000000,,475000,467000,,"Huron Harbor, Ohio",,,OH,Energy & Water,Corps of Engineers,Operation & Maintenance,,Kaptur,D,OH,,,,,,,,,0
2970,,250000,243000,238755,,"Institute for Student Achievement, Lake Success, NY for school reform activities at Wyandanch High School",Lake Success,,NY,Labor-HHS-Education,Department of Education,Fund for the Improvement of Education,,Israel,D,NY,,Clinton; Schumer,D; D,NY; NY,,,,,0
2971,800000,3000000,1717000,1690000,0,Rio De Flag Flagstaff,,,AZ,Energy & Water,Corps of Engineers,"Construction, General",,Pastor; Renzi,D; R,AZ; AZ,,Kyl,R,AZ,,,,,0
2972,1650000,2000000,1700000,1673000,,Chesapeake Bay Gateways,,,MD; VA,Interior,National Park Service,National Recreation and Preservation,,"Davis, Jo Ann; Hoyer; Moran, James; Ruppersberger; Sarbanes",R; D; D; D; D,VA; MD; VA; MD; MD,,Cardin; Mikulski,D; D,MD; MD,,,,,0
2973,300000,,365000,358623,,"City of West Palm Beach, FL for training programs for at-risk youth",West Palm Beach,,FL,Labor-HHS-Education,Department of Labor ,Employment and Training Administration ,,"Hastings, Alcee",D,FL,23,,,,,,,,0
2974,215000,,161000,160000,,"Environmental Risk Factors/Cancer, NY",,,NY,Ag-Rural Development-FDA,Agriculture,CSREES; Special Research Grants,,Lowey,D,NY,18,Clinton; Schumer,D; D,NY; NY,,,,,0
2975,2500000,,,2000000,,Future Medical Shelter System (FMSS),St. Johnsbury,,VT,Defense,RDTE,Army,Medical Systems Advanced Development,Baird; Blumenauer; DeLauro; LaHood; Welch,D; D; D; R; D,WA; OR; CT; IL; VT,,Cantwell; Dodd; Durbin; Lautenberg; Leahy; Lieberman; Menendez; Smith; Wyden,D; D; D; D; D; I; D; R; D,WA; CT; IL; NJ; VT; CT; NJ; OR; OR,,,Mobile Medical International Corp.,,0
2976,500000,,487000,478492,,"HealthEast Care System, St. Paul, MN for health information systems",St. Paul,,MN,Labor-HHS-Education,Department of Health and Human Services,Health Resources and Services Administration ,,Bachmann; McCollum,R; D,MN; MN,,Coleman; Klobuchar,R; D,MN; MN,,,,,0
2977,1000000,,1250000,1225000,,Huntsville Multimodal Dallas Branch,Huntsville,,AL,Transportation and Housing & Urban Development,Transportation,FTA; Buses and Bus Facilities,,Cramer,D,AL,5,Shelby,R,AL,,,,,0
2978,100000,,100000,98000,,Hwy 27 Hurricane Evacuation Route,,,MS,Transportation and Housing & Urban Development,Transportation,FHWA; Transportation and Community and System Preservation,,Pickering,R,MS,,Cochran,R,MS,,,,,0
2979,,5067000,5066666,5067000,,Idaho Salmon and Clearwater River Basins Habitat Account,,,ID,Interior,Fish and Wildlife Service,,,,,,,,,,,Undisclosed,,,0
2980,1000000,1500000,,1200000,,C-130 Propeller De-icing System Safety Upgrade Using Metal Fiber Brushes,Arlington,,VA,Defense,RDTE,Air Force,C-130 Airlift Squadron,"Moran, James",D,VA,,Warner; Webb,R; D,VA; VA,,,"Defense Holdings, Inc. ",,0
2981,,7815000,7515000,7515000,,Cochiti Lake,,,NM,Energy & Water,Corps of Engineers,Operation & Maintenance,,"Udall, Tom",D,NM,3,Bingaman; Domenici,D; R,NM; NM,,O & M-Disclosed,,"Senate describes O & M earmarks as Presidential earmarks, but they were not in the  2008 budget",0
2982,1500000,,,1200000,,Equipment Life Extension Project (ELEP),Patuxent River,,MD,Defense,RDTE,Navy,Aviation Survivability,Myrick,R,NC,,,,,,,Naval Air Systems Command,,0
2983,659000,450000,494000,491000,,"Future Foods, IL",,,IL,Ag-Rural Development-FDA,Agriculture,CSREES; Special Research Grants,,"Johnson, Timothy; LaHood",R; R,IL; IL,,Durbin,D,IL,,,University of Illinois,,0
2984,,,0,0,0,Gerritsen Creek,Brooklyn,,NY,Energy & Water,Corps of Engineers,Continuing Authorities Program; Aquatic Ecosystem Restoration (Section 206),,Weiner,D,NY,9,Clinton; Schumer,D; D,NY; NY,,,,"$20,321,000 out of $30,000,000 allocated for this program was earmarked to specific projects; projects with unspecified funding levels are second priority for remaining funds. Senate included this project but with an unspecified funding amount.",0
2985,,100000,87000,85480,,"Good Samaritan Regional Medical Center, Pottsville, PA, for medical outreach",Pottsville,,PA,Labor-HHS-Education,Department of Health and Human Services,Health Resources and Services Administration ,,,,,,Specter,R,PA,,,,,0
2986,175000,,195000,191593,,"Huntsville Hospital, Huntsville, AL for facilities and equipment",Huntsville,,AL,Labor-HHS-Education,Department of Health and Human Services,Health Resources and Services Administration ,,Cramer,D,AL,5,,,,,,,,0
2987,45000,,,159800,,"Laurens County, GA Sheriff's Department Equipment",,Laurens,GA,"Commerce, Justice & Science",Department of Justice,COPS; Technology,,Marshall,D,GA,8,,,,,,,,0
2988,,13000000,,13000000,0,Control Tower/RAPCON,Grand Forks AFB,,ND,Military Construction,Military Construction Project Listing,Air Force,,,,,,Conrad; Dorgan,D; D,ND; ND,,,,,0
2989,150000,,150000,147000,,Food Bank of the Virginia Peninsula for renovation and build out of a facility to provide food to low-income populations,Newport News,,VA,Transportation and Housing & Urban Development,HUD,Economic Development Initiatives,,"Scott, Bobby",D,VA,,,,,,,,,0
2990,2000000,,,2000000,,Gallium Nitride RF Power Technology,Greensboro; Charlotte,,NC; PA,Defense,RDTE,Navy,RF Systems Applied Research,Coble; Watt,R; D,NC; NC,,Dole,R,NC,,,RF Micro Devices; Center for Excellence for Electro-Optics at Pennsylvania State University; RF Micro Devices,,0
2991,,,6000000,5906000,,"Great Smokies National Park, North Shore Road Settlement",,,NC,Interior,National Park Service,Save America's Treasures,,Shuler,D,NC,,,,,,,,,0
2992,1000000,400000,1000000,984000,,Nanosystems Initiative at the University of Rochester (NY),,,NY,Energy & Water,Department of Energy,Congressionally Directed Science projects,,Slaughter,D,NY,,Clinton; Schumer,D; D,NY; NY,,,,Includes biosensor and fuel cell earmark included in the Senate bill.,0
2993,50000,,,47000,,"S&B United Anti-Gang and Anti-Drug Program, Bronx, NY",Bronx,,NY,"Commerce, Justice & Science",Department of Justice,Juvenile Justice,,Serrano,D,NY,,,,,,,,,0
2994,,16000000,,16000000,16000000,Armed Forces Reserve Building,Faribault Army National Guard,,MN,Military Construction,BRAC Projects 2005,Army,,,,,,,,,President-Solo & Und.,,,Commission recommendation; 27,0
2995,,1644000,1546000,1546000,,Carr Creek Lake,,,KY,Energy & Water,Corps of Engineers,Operation & Maintenance,,,,,,,,,,O & M-Undisclosed,,"Senate describes O & M earmarks as Presidential earmarks, but they were not in the  2008 budget",0
2996,,1800000,,1800000,,Controllable Shock Absorber for Advanced Submarines,,,UNK,Defense,RDTE,Navy,Advanced Submarine System Development,Berkley,D,NV,,Ensign; Reid,R; D,NV; NV,,,,,0
2997,361805,,362000,359000,,"Food Fermentation Research, Raleigh, NC",Raleigh,,NC,Ag-Rural Development-FDA,Agriculture,Agricultural Research Service; Salaries and Expenses,,"Etheridge; McIntyre; Miller, Brad; Price, David",D; D; D; D,NC; NC; NC; NC,,Dole,R,NC,,,,,0
2998,,4000000,,3750000,0,Galveston Causeway Bridge,Galveston,,TX,Homeland Security,U.S. Coast Guard,Alteration of Bridges,,Culberson; Paul; Poe,R; R; R,TX; TX; TX,,Hutchison,R,TX,,,,,0
2999,150000,,150000,148000,,Kotzebue Electric Wind Power System (AK),,,AK,Energy & Water,Department of Energy,Congressionally Directed Energy Efficiency and Renewable Energy Projects,,"Young, Don",R,AK,,Murkowski; Stevens,R; R,AK; AK,,,,,0
3000,70000,,68000,66812,,"Northcott Neighborhood House, Milwaukee, Wl for construction industry training for youth",Milwaukee,,WI,Labor-HHS-Education,Department of Labor ,Employment and Training Administration ,,"Moore, Gwen",D,WI,4th,,,,,,,,0
3001,,3560000,0,0,0,VA Medical Center Renovation/Expansion,Martinsburg,,WV,Military Construction,Department of Veterans Affairs,Major Construction Planning ,,,,,,,,,,,,,0
3002,,27800000,,27800000,27800000,Bachelor Enlisted Quarters-French Creek,Camp Lejeune,,NC,Military Construction,Military Construction Project Listing,Navy,,,,,,Burr; Dole,R; R,NC; NC,President and Member(s),,,,0
3003,200000,,312000,306549,,"Barnert Hospital, Paterson, NJ for facilities and equipment",Paterson,,NJ,Labor-HHS-Education,Department of Health and Human Services,Health Resources and Services Administration ,,Pascrell,D,NJ,,Lautenberg,D,NJ,,,,,0
3004,990000,,,990000,,"Center for Military Recruitment, Assessment and Veterans Employment, a nonprofit labor-management co-operation to facilitate access by veterans to opportunities for skilled employment in the construction industry.committee",,,UNK,Defense,Operation and Maintenance,Army National Guard,,Murtha,D,PA,,,,,,,,"Murtha has gotten this project in the past, but did not disclosed it.  Was in section 8082 of General provisions",0
3005,4200000,10000000,10000000,9840000,0,Fort Peck Reservation/ Dry Prairie Rural Water System,,,MT,Energy & Water,Bureau of Reclamation,Water and Related Resources,,Rehberg,R,MT,,Baucus; Tester,D; D,MT; MT,,,,,0
3006,,1838000,1728000,1728000,,Green River Lake,,,KY,Energy & Water,Corps of Engineers,Operation & Maintenance,,,,,,,,,,O & M-Undisclosed,,"Senate describes O & M earmarks as Presidential earmarks, but they were not in the  2008 budget",0
3007,250000,,250000,245000,,"La Canada Flintridge, CA I-210 ",Soundwall,,CA,Transportation and Housing & Urban Development,Transportation,FHWA; Transportation and Community and System Preservation,,Dreier,R,CA,,,,,,,,,0
3008,,250000,,223250,,"Rhode Island Family Court Mental Health Services, Providence, RI, to provide rapid psychological evaluations and treatment recommendations to youth and the courts.",Providence,,RI,"Commerce, Justice & Science",Department of Justice,Byrne Grants,,,,,,Reed; Whitehouse,D; D,RI; RI,,,,,0
3009,,600000,,480000,,Robotic Manipulators for Explosive Ordnance Disposal,,,UNK,Defense,RDTE,Army,Army Technical Test Instrumentation and Targets ,,,,,Enzi,R,WY,,,,,0
3010,,2000000,,2000000,,Advanced Tactical Fuels for the Military ,,,UNK,Defense,RDTE,Army,Military Engineering Advanced Technology ,Pomeroy,D,ND,,Conrad; Dorgan,D; D,ND; ND,,,,,0
3011,1500000,,0,0,0,"Fort Randall Dam S Powerhouse, SD (Rehab)",,,SD,Energy & Water,Corps of Engineers,"Construction, General",,Programmatic,D; R,,,,,,,,,,0
3012,364000,,364000,356720,,Green River Ferry Rehabilitation,,,KY,Transportation and Housing & Urban Development,Transportation,FHWA; Ferry Boats and Terminal Facilities,,"Lewis, Ron",R,KY,2,,,,,,,,0
3013,500000,,500000,490000,,I-76 (Colorado's NE Gateway),,,CO,Transportation and Housing & Urban Development,Transportation,FHWA; Interstate Maintenance Discretionary,,Musgrave,R,CO,,Salazar,D,CO,,,,,0
3014,8727000,9000000,9000000,9000000,6000000,Native Hawaiian Housing Block Grant,,,HI,Transportation and Housing & Urban Development,HUD,Native Hawaiian Housing Block Grant,,,,,,,,,President-Solo & Und.,,,,0
3015,250000,,125000,123000,0,Rancho Water District,,,CA,Energy & Water,Bureau of Reclamation,Water and Related Resources,,Bono Mack; Issa,R; R,CA; CA,,,,,,,,,0
3016,60000,,,56400,,"Sault Ste. Marie Tribe of Chippewa Indians, MI Radio and Computer Technology",,,MI,"Commerce, Justice & Science",Department of Justice,COPS; Technology,,Stupak,D,MI,,,,,,,,,0
3017,,8399000,,8399000,8399000,Aircraft Power Systems Repair Facility,Hill AFB,,UT,Military Construction,Military Construction Project Listing,Air Force,,,,,,Bennett; Hatch,R; R,UT; UT,President and Member(s),,,,0
3018,,2462000,2315000,2315000,,Black Butte Lake,,,CA,Energy & Water,Corps of Engineers,Operation & Maintenance,,,,,,,,,,O & M-Undisclosed,,"Senate describes O & M earmarks as Presidential earmarks, but they were not in the  2008 budget",0
3019,500000,,500000,490000,,Broward County Southwest Transit Facility,,Broward,FL,Transportation and Housing & Urban Development,Transportation,FTA; Buses and Bus Facilities,,"Diaz-Balart, Lincoln",R,FL,,,,,,,,,0
3020,500000,1000000,1420000,1391600,,Fort Wayne Clinton Street Bridge Replacement,,,IN,Transportation and Housing & Urban Development,Transportation,FHWA; Surface Transportation Priorities,,Souder,R,IN,,Bayh; Lugar,D; R,IN; IN,,,,,0
3021,,500000,0,0,500000,"Green River Basin endangered species earmark, for candidate conservation",,,UNK,Interior,Fish and Wildlife Service,,,,,,,,,,President-Solo,,,,0
3022,8000000,,8000000,7872000,0,"Northern Wisconsin, WI",,,WI,Energy & Water,Corps of Engineers,"Construction, General",,Obey,D,WI,7,,,,,,,,0
3023,,1000000,,800000,,Robotic Mobility Platform Systems,,,UNK,Defense,RDTE,Defense Wide,Combating Terrorism Technology Support,Boyd,D,FL,,Gregg,R,NH,,,,,0
3024,987000,,,927780,,Texas State University Advanced Law Enforcement Rapid Response Training,,,TX,"Commerce, Justice & Science",Department of Justice,Byrne Grants,,Doggett; Edwards; Granger,D; D; R,TX; TX; TX,,Cornyn,R,TX,,,,,0
3025,,33000000,,33000000,33000000,Aviation Support Facility,North Kingstown,,RI,Military Construction,Military Construction Project Listing,Army National Guard,,Langevin,D,RI,,Reed,D,RI,President and Member(s),,,,0
3026,200000,,312000,306549,,"Campbell University, Buies Creek, NC for its Advancement for Underrepresented Minority Pharmacists and Pharmaceutical Scientists Program",Bules Creek,,NC,Labor-HHS-Education,Department of Education,Fund for the Improvement of Postsecondary Education,,Etheridge,D,NC,,,,,,,,,0
3027,150000,,150000,147000,,"City of North Las Vegas for planning, design and construction of a senior center",North Las Vegas,,NV,Transportation and Housing & Urban Development,HUD,Economic Development Initiatives,,Berkley,D,NV,,,,,,,,,0
3028,50000,,,47000,,"Gardena, CA Police Department Security Enhancements",Gardena,,CA,"Commerce, Justice & Science",Department of Justice,Byrne Grants,,Waters,D,CA,35,,,,,,,,0
3029,2162000,1500000,1622000,1611000,2425000,Global Change/Ultraviolet Radiation,,,CO,Ag-Rural Development-FDA,Agriculture,CSREES; Special Research Grants,,"DeGette; Musgrave; Perlmutter; Udall, Mark",D; R; D; D,CO; CO; CO; CO,,Johnson; Salazar,D; D,SD; CO,President and Member(s),,Colorado State University,,0
3030,,500000,0,0,500000,"Green River Basin endangered species earmark, for consultation",,,UNK,Interior,Fish and Wildlife Service,,,,,,,,,,President-Solo,,,,0
3031,,25000,24000,24000,,Salem River,,,NJ,Energy & Water,Corps of Engineers,Operation & Maintenance,,,,,,,,,,O & M-Undisclosed,,"Senate describes O & M earmarks as Presidential earmarks, but they were not in the  2008 budget",0
3032,,50000,38000,38000,,"Chronic Wasting Disease surveillance, CO ",,,CO,Ag-Rural Development-FDA,Agriculture,Animal and Plant Health Inspection Service,,,,,,Allard; Salazar,R; D,CO; CO,,,Colorado Department of Agriculture,,0
3033,3500000,,,2800000,,Extended Cold Weather Clothing System - Gen III,Spartanburg,,SC,Defense,Operation and Maintenance,Army,Force Readiness Operations Support,Inglis,R,SC,,,,,,,Milliken and Company ,,0
3034,1000000,,,800000,,Garden State Cancer Center Vaccine Development Program,Belleville,,NJ,Defense,RDTE,Defense Wide,Chemical and Biological Defense Program,Pascrell; Rothman,D; D,NJ; NJ ,,Lautenberg; Menendez,D; D,NJ; NJ,,,Garden State Cancer Center,,0
3035,,125000,90000,89000,,"Green River Water Quality and Biological Diversity Project, KY",,,KY,Ag-Rural Development-FDA,Conservation Programs,Natural Resources Conservation Service; Conservation Operations,,,,,,McConnell,R,KY,,,Western Kentucky Research Foundation,,0
3036,131000,,,182000,,"Johnson and Wales University, Latino Business Outreach Program",Providence,,RI,Financial Services,Small Business Administration,,,Kennedy,D,RI,1,,,,,,,,0
3037,150000,,250000,245000,,"Saint Richard Parish, for construction, renovation and build out of a new community center",Chicago,,IL,Transportation and Housing & Urban Development,HUD,Economic Development Initiatives,,Lipinski,D,IL,,,,,,,,,0
3038,200000,,292000,286899,,"Scotland Memorial Hospital, Laurinburg, NC for facilities and equipment",Laurinburg,,NC,Labor-HHS-Education,Department of Health and Human Services,Health Resources and Services Administration ,,Hayes,R,NC,,,,,,,,,0
3039,,3000000,,2400000,,Theater Enterprise Wide Logistics System,,,UNK,Defense,Defense Health Program,,Information Management,Sestak,D,PA,,Specter,R,PA,,,,,0
3040,,3350000,,3350000,0,Combined Fire/Police Facility,Rock Island Arsenal,,IL,Military Construction,Military Construction Project Listing,Army,,Braley; Hare,D; D,IA; IL,,Durbin; Obama,D; D,IL; IL,,,,,0
3041,2000000,,,1500000,,"Data-Intensive, High-Performance Computing-Phase 4",Springfield ,,OH,Defense,RDTE,Defense Wide,High Performance Computing Modernization Program,Hobson,R,OH,,,,,,,Advanced Virtual Engine Test Cell (AVETec),,0
3042,,2019000,1898000,1898000,,Gathright Dam and Lake Moomaw,,,VA,Energy & Water,Corps of Engineers,Operation & Maintenance,,,,,,,,,,O & M-Undisclosed,,"Senate describes O & M earmarks as Presidential earmarks, but they were not in the  2008 budget",0
3043,,3000000,,800000,,High Energy Matter Space Propulsion Initiative,,,UNK,Defense,RDTE,Army,Space Technology,,,,,Murray,D,WA,,,,,0
3044,,27000000,,27000000,27000000,Hospital Addition,Fort Carson,,CO,Military Construction,BRAC Projects 2005,Army,,,,,,,,,President-Solo & Und.,,,Commission recommendation; 6,0
3045,,1730000,1626000,1626000,,John W. Flannagan Dam and Reservoir,,,VA,Energy & Water,Corps of Engineers,Operation & Maintenance,,,,,,,,,,O & M-Undisclosed,,"Senate describes O & M earmarks as Presidential earmarks, but they were not in the  2008 budget",0
3046,1000000,,,1000000,,Military Physicians Combat Medical Training by the University of Florida College of Medicine,Jacksonville ,,FL,Defense,Operation and Maintenance,Navy,Training Support,"Brown, Corrine",D,FL,,Martinez,R,FL,,,University of Florida College of Medicine,,0
3047,,250000,229000,224999,,"San Bernardino Boys and Girls Club, San Bernardino, CA, to expand programs that are available in education, health and the arts",San Bernardino,,CA,Labor-HHS-Education,Department of Education,Fund for the Improvement of Education,,,,,,Boxer,D,CA,,,,,0
3048,,100000,,70500,,A Child is Missing GA-- to assist law enforcement in finding missing children,,,GA,"Commerce, Justice & Science",Department of Justice,Byrne Grants,,,,,,Chambliss; Isakson,R; R,GA; GA,,,,,0
3049,50000,,,47000,,"Haverstraw, NY Police Department Equipment ",Haverstraw,,NY,"Commerce, Justice & Science",Department of Justice,COPS; Technology,,Lowey,D,NY,18,,,,,,,,0
3050,2000000,,1000000,984000,0,"John T Myers Locks And Dams, IN & KY",,,IN; KY,Energy & Water,Corps of Engineers,"Construction, General",,Ellsworth,D,IN,,,,,,,,,0
3051,100000,,100000,98000,,Mariner's Museum for promoting development and tourism related to the USS Monitor Center,Newport News,,VA,Transportation and Housing & Urban Development,HUD,Economic Development Initiatives,,"Davis, Jo Ann",R,VA,,,,,,,,,0
3052,,3600000,,3600000,0,Planning and Design of Coast Guard Operations Systems Center (OSC) expansion,Kearneysville,,WV,Homeland Security,U.S. Coast Guard,Operating Expenses,,,,,,,,,,Undisclosed,,Directs the Coast Guard to begin planning and design of an expansion of the facility (subject to prospectus approval). Likely requested by Sen. Byrd.,0
3053,,500000,413000,405785,,"Salt Lake Community College, Salt Lake City, Utah, to train health care professionals",Salt Lake City,,UT,Labor-HHS-Education,Department of Education,Fund for the Improvement of Postsecondary Education,,,,,,Bennett,R,UT,,,,,0
